Wall time,Step,Value
1582143393.2118938,35339,54.0
1582143395.3312936,35380,39.0
1582143398.4288561,35430,47.0
1582143401.5317914,35506,73.0
1582143404.6492648,35564,55.0
1582143407.7532625,35625,58.0
1582143409.8671732,35670,43.0
1582143412.9714923,35728,55.0
1582143415.0892584,35771,41.0
1582143417.209895,35820,47.0
1582143419.3208299,35866,44.0
1582143422.4399753,35912,43.0
1582143424.5636644,35969,55.0
1582143427.6783864,36031,59.0
1582143430.7808225,36078,44.0
1582143432.8850172,36138,58.0
1582143435.980954,36184,43.0
1582143438.0973532,36229,43.0
1582143440.206718,36274,43.0
1582143443.3122306,36336,59.0
1582143445.4191928,36382,44.0
1582143448.5282462,36449,64.0
1582143450.6465607,36495,44.0
1582143453.7634525,36554,56.0
1582143455.881048,36601,45.0
1582143458.9918303,36661,57.0
1582143462.0847824,36708,44.0
1582143464.1822991,36760,50.0
1582143465.294649,36790,29.0
1582143468.394708,36850,57.0
1582143471.5390759,36909,56.0
1582143473.6741047,36954,43.0
1582143476.7838395,37020,63.0
1582143478.8899958,37051,29.0
1582143480.997451,37100,47.0
1582143483.110855,37146,44.0
1582143486.2284777,37207,58.0
1582143489.3305101,37271,61.0
1582143492.4331815,37331,57.0
1582143495.5420601,37384,50.0
1582143498.6506217,37446,59.0
1582143500.758033,37503,55.0
1582143506.8379893,37613,104.0
1582143508.9429793,37668,53.0
1582143512.0514975,37733,62.0
1582143516.150203,37804,67.0
1582143519.2542064,37870,63.0
1582143524.336486,37978,103.0
1582143529.4304519,38085,102.0
1582143532.5390515,38149,61.0
1582143535.6401083,38213,61.0
1582143538.741544,38276,60.0
1582143541.8427217,38343,64.0
1582143544.955915,38407,61.0
1582143549.044139,38476,65.0
1582143553.1721933,38573,93.0
1582143558.2932777,38680,102.0
1582143563.4390242,38783,98.0
1582143568.5534027,38878,90.0
1582143572.6603007,38955,73.0
1582143575.7493417,39019,61.0
1582143578.8560996,39090,68.0
1582143581.953908,39156,63.0
1582143587.0542784,39264,103.0
1582143590.1601424,39327,60.0
1582143596.2601185,39454,121.0
1582143603.3476038,39586,125.0
1582143610.4418166,39734,141.0
1582143613.5710843,39795,58.0
1582143619.668325,39929,128.0
1582143625.7483182,40053,118.0
1582143634.9105544,40255,193.0
1582143717.7151363,41986,1648.0
1582143724.8647466,42142,149.0
1582143729.953857,42241,94.0
1582143735.0380886,42338,92.0
1582143740.1384797,42441,98.0
1582143744.2535162,42532,87.0
1582143746.3685336,42585,51.0
1582143749.4818974,42637,49.0
1582143752.5978162,42693,53.0
1582143754.718074,42744,49.0
1582143756.8262048,42795,49.0
1582143759.9397354,42850,52.0
1582143763.0547612,42906,53.0
1582143765.1654963,42961,53.0
1582143768.2690735,43012,48.0
1582143772.3713908,43107,91.0
1582143775.4727354,43160,50.0
1582143778.5686488,43233,70.0
1582143782.6771832,43314,77.0
1582143785.7933457,43383,66.0
1582143790.8896663,43485,97.0
1582143797.9987087,43630,138.0
1582143803.1057854,43736,101.0
1582143811.199706,43908,164.0
1582143825.2826064,44188,266.0
1582143846.4021628,44633,424.0
1582143861.5421886,44953,305.0
1582143865.6478784,45030,73.0
1582143870.7583132,45148,113.0
1582143874.8542368,45225,73.0
1582143882.0111446,45364,132.0
1582143885.1404784,45436,69.0
1582143892.2127295,45582,139.0
1582143896.3155677,45659,73.0
1582143901.4136994,45766,102.0
1582143908.52619,45924,151.0
1582143919.6250749,46144,209.0
1582143941.6310136,46608,442.0
1582143991.5736861,47666,1008.0
1582144008.7832887,48020,337.0
1582144040.8144135,48696,644.0
1582144080.8357275,49533,797.0
1582144084.9571676,49610,73.0
1582144089.045466,49691,77.0
1582144093.1432068,49774,79.0
1582144097.250988,49854,76.0
1582144099.3692179,49897,41.0
1582144101.478131,49952,53.0
1582144104.586419,50013,58.0
1582144108.6859636,50086,69.0
1582144111.7814324,50151,62.0
1582144114.8960514,50212,58.0
1582144118.0096521,50280,65.0
1582144122.1108122,50365,81.0
1582144126.1992657,50458,89.0
1582144130.342395,50543,81.0
1582144139.427016,50730,178.0
1582144145.5480208,50853,117.0
1582144288.28641,53863,2867.0
1582144295.408061,54000,130.0
1582144329.4301717,54720,686.0
1582144335.5432663,54837,111.0
1582144340.6267545,54954,112.0
1582144345.7194073,55043,84.0
1582144352.7935798,55188,138.0
1582144357.9019935,55297,104.0
1582144362.004413,55383,82.0
1582144369.078684,55542,152.0
1582144374.2072473,55630,83.0
1582144411.2630002,56415,748.0
1582144418.4343333,56557,135.0
1582144476.4149542,57777,1162.0
1582144480.5209162,57871,90.0
1582144483.635058,57924,50.0
1582144485.750117,57965,39.0
1582144486.8634148,57995,29.0
1582144488.9770057,58041,44.0
1582144491.0894074,58083,40.0
1582144496.187601,58177,89.0
1582144497.3049552,58196,18.0
1582144501.4343038,58277,77.0
1582144502.5561419,58306,28.0
1582144504.6732476,58344,36.0
1582144506.778474,58384,38.0
1582144508.0139868,58403,18.0
1582144509.0085795,58422,18.0
